time,Hips.y,Hips.x,Hips.z,RightUpLeg.y,RightUpLeg.x,RightUpLeg.z,RightLeg.y,RightLeg.x,RightLeg.z,RightFoot.y,RightFoot.x,RightFoot.z,LeftUpLeg.y,LeftUpLeg.x,LeftUpLeg.z,LeftLeg.y,LeftLeg.x,LeftLeg.z,LeftFoot.y,LeftFoot.x,LeftFoot.z,Spine.y,Spine.x,Spine.z,Spine1.y,Spine1.x,Spine1.z,Spine2.y,Spine2.x,Spine2.z,Spine3.y,Spine3.x,Spine3.z,Neck.y,Neck.x,Neck.z,Head.y,Head.x,Head.z,RightShoulder.y,RightShoulder.x,RightShoulder.z,RightArm.y,RightArm.x,RightArm.z,RightForeArm.y,RightForeArm.x,RightForeArm.z,RightHand.y,RightHand.x,RightHand.z,RightHandThumb1.y,RightHandThumb1.x,RightHandThumb1.z,RightHandThumb2.y,RightHandThumb2.x,RightHandThumb2.z,RightHandThumb3.y,RightHandThumb3.x,RightHandThumb3.z,RightInHandIndex.y,RightInHandIndex.x,RightInHandIndex.z,RightHandIndex1.y,RightHandIndex1.x,RightHandIndex1.z,RightHandIndex2.y,RightHandIndex2.x,RightHandIndex2.z,RightHandIndex3.y,RightHandIndex3.x,RightHandIndex3.z,RightInHandMiddle.y,RightInHandMiddle.x,RightInHandMiddle.z,RightHandMiddle1.y,RightHandMiddle1.x,RightHandMiddle1.z,RightHandMiddle2.y,RightHandMiddle2.x,RightHandMiddle2.z,RightHandMiddle3.y,RightHandMiddle3.x,RightHandMiddle3.z,RightInHandRing.y,RightInHandRing.x,RightInHandRing.z,RightHandRing1.y,RightHandRing1.x,RightHandRing1.z,RightHandRing2.y,RightHandRing2.x,RightHandRing2.z,RightHandRing3.y,RightHandRing3.x,RightHandRing3.z,RightInHandPinky.y,RightInHandPinky.x,RightInHandPinky.z,RightHandPinky1.y,RightHandPinky1.x,RightHandPinky1.z,RightHandPinky2.y,RightHandPinky2.x,RightHandPinky2.z,RightHandPinky3.y,RightHandPinky3.x,RightHandPinky3.z,LeftShoulder.y,LeftShoulder.x,LeftShoulder.z,LeftArm.y,LeftArm.x,LeftArm.z,LeftForeArm.y,LeftForeArm.x,LeftForeArm.z,LeftHand.y,LeftHand.x,LeftHand.z,LeftHandThumb1.y,LeftHandThumb1.x,LeftHandThumb1.z,LeftHandThumb2.y,LeftHandThumb2.x,LeftHandThumb2.z,LeftHandThumb3.y,LeftHandThumb3.x,LeftHandThumb3.z,LeftInHandIndex.y,LeftInHandIndex.x,LeftInHandIndex.z,LeftHandIndex1.y,LeftHandIndex1.x,LeftHandIndex1.z,LeftHandIndex2.y,LeftHandIndex2.x,LeftHandIndex2.z,LeftHandIndex3.y,LeftHandIndex3.x,LeftHandIndex3.z,LeftInHandMiddle.y,LeftInHandMiddle.x,LeftInHandMiddle.z,LeftHandMiddle1.y,LeftHandMiddle1.x,LeftHandMiddle1.z,LeftHandMiddle2.y,LeftHandMiddle2.x,LeftHandMiddle2.z,LeftHandMiddle3.y,LeftHandMiddle3.x,LeftHandMiddle3.z,LeftInHandRing.y,LeftInHandRing.x,LeftInHandRing.z,LeftHandRing1.y,LeftHandRing1.x,LeftHandRing1.z,LeftHandRing2.y,LeftHandRing2.x,LeftHandRing2.z,LeftHandRing3.y,LeftHandRing3.x,LeftHandRing3.z,LeftInHandPinky.y,LeftInHandPinky.x,LeftInHandPinky.z,LeftHandPinky1.y,LeftHandPinky1.x,LeftHandPinky1.z,LeftHandPinky2.y,LeftHandPinky2.x,LeftHandPinky2.z,LeftHandPinky3.y,LeftHandPinky3.x,LeftHandPinky3.z
   0.00000, -60.17000,   1.32000,  -0.45000,   8.36000,   1.45000,  -1.18000,   4.24000,   0.86000,   0.93000,   5.75000,  -2.83000,   0.57000,  10.61000,   0.92000,  -2.66000,   8.48000,  -0.31000,  -0.22000,  -2.43000,  -2.02000,   2.84000,   0.87000, -11.42000,   1.81000,   0.19000,  -2.85000,   0.47000,   0.26000,  -4.68000,   0.77000,  -0.13000,   0.37000,  -0.23000,  -0.13000,   0.37000,  -0.23000,  -2.79000,   6.60000,  -4.33000,  18.01000, -26.58000, -14.75000,  13.23000,  36.35000, 107.25000,   8.33000,   5.80000,  -0.18000,   0.21000,   2.99000,  -9.12000,  51.00000,  -0.00000,  41.14000,  -4.48000,  -0.00000,   6.98000,   4.73000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000,  19.42000,   0.00000,  -0.00000,  19.42000,   0.00000,  -0.00000,  19.42000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  21.72000,   0.00000,  -0.00000,  21.72000,   0.00000,  -0.00000,  21.72000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000,  22.05000,   0.00000,  -0.00000,  22.05000,   0.00000,  -0.00000,  22.05000,   0.00000,  -0.00000,   0.00000, -25.00000,  -0.00000,  17.14000,   0.00000,  -0.00000,  17.14000,   0.00000,  -0.00000,  17.14000,  15.04000, -35.90000,   2.70000, -46.97000,  38.15000,-122.82000,  -6.24000, -13.58000,   2.43000,  -5.30000, -12.70000,  10.05000, -40.40000,  -0.00000, -56.68000,  -0.85000,  -0.00000, -11.54000,  -2.77000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000, -16.63000,   0.00000,  -0.00000, -16.63000,   0.00000,  -0.00000, -16.63000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  -9.95000,   0.00000,  -0.00000,  -9.95000,   0.00000,  -0.00000,  -9.95000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000, -16.60000,   0.00000,  -0.00000, -16.60000,   0.00000,  -0.00000, -16.60000,   0.00000,  -0.00000,   0.00000,  25.00000,  -0.00000,  -9.57000,   0.00000,  -0.00000,  -9.57000,   0.00000,  -0.00000,  -9.57000
   0.01700, -60.15000,   1.20000,  -0.45000,   8.36000,   1.41000,  -1.22000,   4.17000,   1.09000,   0.94000,   5.82000,  -2.91000,   0.62000,  10.54000,   0.99000,  -2.69000,   8.52000,  -0.26000,  -0.23000,  -2.41000,  -2.02000,   2.90000,   0.87000, -11.31000,   1.80000,   0.19000,  -2.83000,   0.46000,   0.26000,  -4.64000,   0.77000,  -0.13000,   0.37000,  -0.23000,  -0.13000,   0.37000,  -0.23000,  -2.88000,   6.62000,  -4.29000,  18.04000, -26.62000, -14.77000,  13.22000,  36.33000, 107.24000,   8.42000,   5.71000,  -0.22000,   0.23000,   2.97000,  -9.11000,  50.99000,  -0.00000,  41.20000,  -4.51000,  -0.00000,   7.04000,   4.77000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000,  19.41000,   0.00000,  -0.00000,  19.41000,   0.00000,  -0.00000,  19.41000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  21.72000,   0.00000,  -0.00000,  21.72000,   0.00000,  -0.00000,  21.72000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000,  22.05000,   0.00000,  -0.00000,  22.05000,   0.00000,  -0.00000,  22.05000,   0.00000,  -0.00000,   0.00000, -25.00000,  -0.00000,  17.10000,   0.00000,  -0.00000,  17.10000,   0.00000,  -0.00000,  17.10000,  15.06000, -35.92000,   2.70000, -47.02000,  38.10000,-122.80000,  -6.33000, -13.59000,   2.41000,  -5.28000, -12.80000,  10.13000, -40.40000,  -0.00000, -56.75000,  -0.85000,  -0.00000, -11.61000,  -2.77000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000, -16.67000,   0.00000,  -0.00000, -16.67000,   0.00000,  -0.00000, -16.67000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  -9.99000,   0.00000,  -0.00000,  -9.99000,   0.00000,  -0.00000,  -9.99000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000, -16.64000,   0.00000,  -0.00000, -16.64000,   0.00000,  -0.00000, -16.64000,   0.00000,  -0.00000,   0.00000,  25.00000,  -0.00000,  -9.61000,   0.00000,  -0.00000,  -9.61000,   0.00000,  -0.00000,  -9.61000
   0.03400, -60.15000,   1.20000,  -0.45000,   8.36000,   1.41000,  -1.22000,   4.17000,   1.09000,   0.94000,   5.82000,  -2.91000,   0.62000,  10.54000,   0.99000,  -2.69000,   8.52000,  -0.26000,  -0.23000,  -2.41000,  -2.02000,   2.90000,   0.87000, -11.31000,   1.80000,   0.19000,  -2.83000,   0.46000,   0.26000,  -4.64000,   0.77000,  -0.13000,   0.37000,  -0.23000,  -0.13000,   0.37000,  -0.23000,  -2.88000,   6.62000,  -4.29000,  18.04000, -26.62000, -14.77000,  12.67000,  35.64000, 107.31000,   7.58000,   5.98000,  -0.59000,   0.23000,   2.97000,  -9.11000,  50.99000,  -0.00000,  41.20000,  -4.51000,  -0.00000,   7.04000,   4.77000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000,  19.41000,   0.00000,  -0.00000,  19.41000,   0.00000,  -0.00000,  19.41000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  21.72000,   0.00000,  -0.00000,  21.72000,   0.00000,  -0.00000,  21.72000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000,  22.05000,   0.00000,  -0.00000,  22.05000,   0.00000,  -0.00000,  22.05000,   0.00000,  -0.00000,   0.00000, -25.00000,  -0.00000,  17.10000,   0.00000,  -0.00000,  17.10000,   0.00000,  -0.00000,  17.10000,  15.06000, -35.92000,   2.70000, -46.53000,  37.48000,-122.55000,  -5.61000, -13.59000,   2.47000,  -5.28000, -12.80000,  10.13000, -40.40000,  -0.00000, -56.75000,  -0.85000,  -0.00000, -11.61000,  -2.77000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000, -16.67000,   0.00000,  -0.00000, -16.67000,   0.00000,  -0.00000, -16.67000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  -9.99000,   0.00000,  -0.00000,  -9.99000,   0.00000,  -0.00000,  -9.99000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000, -16.64000,   0.00000,  -0.00000, -16.64000,   0.00000,  -0.00000, -16.64000,   0.00000,  -0.00000,   0.00000,  25.00000,  -0.00000,  -9.61000,   0.00000,  -0.00000,  -9.61000,   0.00000,  -0.00000,  -9.61000
   0.05100, -60.15000,   1.20000,  -0.45000,   8.36000,   1.41000,  -1.22000,   4.17000,   1.09000,   0.94000,   5.82000,  -2.91000,   0.62000,  10.54000,   0.99000,  -2.69000,   8.52000,  -0.26000,  -0.23000,  -2.41000,  -2.02000,   2.90000,   0.87000, -11.31000,   1.80000,   0.19000,  -2.83000,   0.46000,   0.26000,  -4.64000,   0.77000,  -0.13000,   0.37000,  -0.23000,  -0.13000,   0.37000,  -0.23000,  -2.88000,   6.62000,  -4.29000,  18.04000, -26.62000, -14.77000,  12.67000,  35.51000, 107.33000,   7.47000,   5.95000,  -0.60000,   0.23000,   2.97000,  -9.11000,  50.99000,  -0.00000,  41.20000,  -4.51000,  -0.00000,   7.04000,   4.77000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000,  19.41000,   0.00000,  -0.00000,  19.41000,   0.00000,  -0.00000,  19.41000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  21.72000,   0.00000,  -0.00000,  21.72000,   0.00000,  -0.00000,  21.72000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000,  22.05000,   0.00000,  -0.00000,  22.05000,   0.00000,  -0.00000,  22.05000,   0.00000,  -0.00000,   0.00000, -25.00000,  -0.00000,  17.10000,   0.00000,  -0.00000,  17.10000,   0.00000,  -0.00000,  17.10000,  15.06000, -35.92000,   2.70000, -46.69000,  37.44000,-122.61000,  -5.64000, -13.72000,   2.44000,  -5.28000, -12.80000,  10.13000, -40.40000,  -0.00000, -56.75000,  -0.85000,  -0.00000, -11.61000,  -2.77000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000, -16.67000,   0.00000,  -0.00000, -16.67000,   0.00000,  -0.00000, -16.67000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  -9.99000,   0.00000,  -0.00000,  -9.99000,   0.00000,  -0.00000,  -9.99000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000, -16.64000,   0.00000,  -0.00000, -16.64000,   0.00000,  -0.00000, -16.64000,   0.00000,  -0.00000,   0.00000,  25.00000,  -0.00000,  -9.61000,   0.00000,  -0.00000,  -9.61000,   0.00000,  -0.00000,  -9.61000
   0.06800, -61.31000,   2.56000,  -0.02000,   9.52000,   0.13000,  -1.89000,   2.81000,   0.38000,   2.28000,   6.77000,  -2.06000,  -0.17000,  11.79000,  -0.26000,  -2.25000,   7.25000,  -0.36000,   0.05000,  -2.12000,  -1.99000,   1.77000,   1.21000, -12.46000,   1.52000,   0.28000,  -3.11000,   0.40000,   0.41000,  -5.09000,   0.66000,  -0.02000,   0.30000,  -0.27000,  -0.03000,   0.30000,  -0.27000,  -0.95000,   5.31000,  -4.97000,  18.36000, -27.30000, -14.46000,  13.32000,  36.47000, 107.92000,   9.23000,   8.03000,  -0.34000,  -1.65000,   0.86000,  -9.16000,  51.27000,  -0.00000,  42.61000,  -3.95000,  -0.00000,   8.45000,   4.13000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000,  20.48000,   0.00000,  -0.00000,  20.48000,   0.00000,  -0.00000,  20.48000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  21.82000,   0.00000,  -0.00000,  21.82000,   0.00000,  -0.00000,  21.82000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000,  22.55000,   0.00000,  -0.00000,  22.55000,   0.00000,  -0.00000,  22.55000,   0.00000,  -0.00000,   0.00000, -25.00000,  -0.00000,  20.59000,   0.00000,  -0.00000,  20.59000,   0.00000,  -0.00000,  20.59000,  14.03000, -36.42000,   2.09000, -45.33000,  39.56000,-121.90000,  -6.55000, -13.00000,   2.71000,  -5.51000, -10.42000,   9.53000, -40.75000,  -0.00000, -54.80000,  -1.55000,  -0.00000,  -9.66000,  -2.88000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000, -16.20000,   0.00000,  -0.00000, -16.20000,   0.00000,  -0.00000, -16.20000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  -9.43000,   0.00000,  -0.00000,  -9.43000,   0.00000,  -0.00000,  -9.43000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000, -15.89000,   0.00000,  -0.00000, -15.89000,   0.00000,  -0.00000, -15.89000,   0.00000,  -0.00000,   0.00000,  25.00000,  -0.00000,  -9.36000,   0.00000,  -0.00000,  -9.36000,   0.00000,  -0.00000,  -9.36000
   0.08500, -61.29000,   2.54000,  -0.04000,   9.50000,   0.15000,  -1.87000,   2.88000,   0.40000,   2.26000,   6.72000,  -2.10000,  -0.17000,  11.75000,  -0.24000,  -2.25000,   7.27000,  -0.36000,   0.05000,  -2.10000,  -2.00000,   1.78000,   1.19000, -12.42000,   1.54000,   0.27000,  -3.10000,   0.41000,   0.40000,  -5.07000,   0.67000,  -0.03000,   0.29000,  -0.27000,  -0.03000,   0.29000,  -0.27000,  -0.96000,   5.23000,  -4.93000,  18.35000, -27.35000, -14.49000,  13.40000,  36.37000, 108.00000,   9.32000,   7.95000,  -0.39000,  -1.84000,   0.89000,  -9.14000,  51.31000,  -0.00000,  42.55000,  -3.87000,  -0.00000,   8.39000,   4.17000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000,  20.43000,   0.00000,  -0.00000,  20.43000,   0.00000,  -0.00000,  20.43000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  21.79000,   0.00000,  -0.00000,  21.79000,   0.00000,  -0.00000,  21.79000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000,  22.52000,   0.00000,  -0.00000,  22.52000,   0.00000,  -0.00000,  22.52000,   0.00000,  -0.00000,   0.00000, -25.00000,  -0.00000,  20.48000,   0.00000,  -0.00000,  20.48000,   0.00000,  -0.00000,  20.48000,  14.06000, -36.42000,   2.09000, -45.28000,  39.56000,-121.80000,  -6.57000, -12.99000,   2.68000,  -5.52000, -10.53000,   9.57000, -40.73000,  -0.00000, -54.85000,  -1.50000,  -0.00000,  -9.71000,  -2.87000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000, -16.21000,   0.00000,  -0.00000, -16.21000,   0.00000,  -0.00000, -16.21000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  -9.45000,   0.00000,  -0.00000,  -9.45000,   0.00000,  -0.00000,  -9.45000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000, -15.91000,   0.00000,  -0.00000, -15.91000,   0.00000,  -0.00000, -15.91000,   0.00000,  -0.00000,   0.00000,  25.00000,  -0.00000,  -9.37000,   0.00000,  -0.00000,  -9.37000,   0.00000,  -0.00000,  -9.37000
   0.10200, -61.29000,   2.54000,  -0.04000,   8.15000,   0.77000,  -0.75000,   4.26000,  -0.15000,   1.06000,   6.70000,  -2.12000,  -0.17000,  11.75000,  -0.21000,  -2.27000,   7.34000,  -0.37000,   0.04000,  -2.15000,  -2.02000,   1.79000,   1.18000, -12.40000,   1.56000,   0.27000,  -3.09000,   0.41000,   0.39000,  -5.06000,   0.68000,  -0.03000,   0.29000,  -0.27000,  -0.03000,   0.29000,  -0.27000,  -0.94000,   5.20000,  -4.95000,  18.35000, -27.39000, -14.51000,  13.52000,  36.27000, 108.08000,   9.23000,   7.87000,  -0.43000,   0.06000,   4.34000,  -8.64000,  51.19000,  -0.00000,  41.31000,  -4.10000,  -0.00000,   7.15000,   4.42000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000,  19.71000,   0.00000,  -0.00000,  19.71000,   0.00000,  -0.00000,  19.71000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  21.41000,   0.00000,  -0.00000,  21.41000,   0.00000,  -0.00000,  21.41000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000,  22.11000,   0.00000,  -0.00000,  22.11000,   0.00000,  -0.00000,  22.11000,   0.00000,  -0.00000,   0.00000, -25.00000,  -0.00000,  19.37000,   0.00000,  -0.00000,  19.37000,   0.00000,  -0.00000,  19.37000,  14.11000, -36.42000,   2.07000, -45.25000,  39.49000,-121.70000,  -6.55000, -13.02000,   2.65000,  -5.52000, -10.60000,   9.63000, -40.71000,  -0.00000, -54.92000,  -1.47000,  -0.00000,  -9.78000,  -2.88000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000, -16.24000,   0.00000,  -0.00000, -16.24000,   0.00000,  -0.00000, -16.24000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  -9.47000,   0.00000,  -0.00000,  -9.47000,   0.00000,  -0.00000,  -9.47000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000, -15.92000,   0.00000,  -0.00000, -15.92000,   0.00000,  -0.00000, -15.92000,   0.00000,  -0.00000,   0.00000,  25.00000,  -0.00000,  -9.39000,   0.00000,  -0.00000,  -9.39000,   0.00000,  -0.00000,  -9.39000
   0.11900, -61.29000,   2.54000,  -0.04000,   8.20000,   0.79000,  -0.76000,   4.31000,  -0.16000,   1.04000,   6.61000,  -2.15000,  -0.16000,  11.73000,  -0.18000,  -2.28000,   7.45000,  -0.38000,   0.02000,  -2.21000,  -2.04000,   1.81000,   1.18000, -12.39000,   1.56000,   0.27000,  -3.09000,   0.41000,   0.39000,  -5.06000,   0.68000,  -0.03000,   0.29000,  -0.27000,  -0.03000,   0.29000,  -0.27000,  -0.94000,   5.18000,  -4.95000,  18.33000, -27.40000, -14.49000,  13.64000,  36.17000, 108.15000,   9.16000,   7.76000,  -0.47000,   0.34000,   4.27000,  -8.72000,  51.15000,  -0.00000,  41.39000,  -4.18000,  -0.00000,   7.23000,   4.43000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000,  19.78000,   0.00000,  -0.00000,  19.78000,   0.00000,  -0.00000,  19.78000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  21.50000,   0.00000,  -0.00000,  21.50000,   0.00000,  -0.00000,  21.50000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000,  22.19000,   0.00000,  -0.00000,  22.19000,   0.00000,  -0.00000,  22.19000,   0.00000,  -0.00000,   0.00000, -25.00000,  -0.00000,  19.41000,   0.00000,  -0.00000,  19.41000,   0.00000,  -0.00000,  19.41000,  14.14000, -36.42000,   2.10000, -45.29000,  39.44000,-121.67000,  -6.54000, -13.05000,   2.66000,  -5.51000, -10.67000,   9.68000, -40.70000,  -0.00000, -54.97000,  -1.45000,  -0.00000,  -9.82000,  -2.89000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000, -16.25000,   0.00000,  -0.00000, -16.25000,   0.00000,  -0.00000, -16.25000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  -9.49000,   0.00000,  -0.00000,  -9.49000,   0.00000,  -0.00000,  -9.49000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000, -15.93000,   0.00000,  -0.00000, -15.93000,   0.00000,  -0.00000, -15.93000,   0.00000,  -0.00000,   0.00000,  25.00000,  -0.00000,  -9.39000,   0.00000,  -0.00000,  -9.39000,   0.00000,  -0.00000,  -9.39000
   0.13600, -61.29000,   2.54000,  -0.05000,   8.31000,   0.83000,  -0.81000,   4.20000,  -0.20000,   1.12000,   6.62000,  -2.15000,  -0.16000,  11.70000,  -0.16000,  -2.28000,   7.54000,  -0.39000,   0.00000,  -2.26000,  -2.06000,   1.82000,   1.16000, -12.39000,   1.57000,   0.27000,  -3.09000,   0.42000,   0.38000,  -5.06000,   0.68000,  -0.03000,   0.29000,  -0.27000,  -0.03000,   0.29000,  -0.27000,  -0.95000,   5.16000,  -4.90000,  18.33000, -27.38000, -14.45000,  13.75000,  36.06000, 108.22000,   9.09000,   7.63000,  -0.53000,   0.94000,   4.08000,  -8.74000,  51.00000,  -0.00000,  41.57000,  -4.48000,  -0.00000,   7.41000,   4.43000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000,  19.93000,   0.00000,  -0.00000,  19.93000,   0.00000,  -0.00000,  19.93000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  21.62000,   0.00000,  -0.00000,  21.62000,   0.00000,  -0.00000,  21.62000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000,  22.29000,   0.00000,  -0.00000,  22.29000,   0.00000,  -0.00000,  22.29000,   0.00000,  -0.00000,   0.00000, -25.00000,  -0.00000,  19.55000,   0.00000,  -0.00000,  19.55000,   0.00000,  -0.00000,  19.55000,  14.16000, -36.42000,   2.15000, -45.38000,  39.42000,-121.72000,  -6.57000, -13.08000,   2.61000,  -5.49000, -10.77000,   9.80000, -40.71000,  -0.00000, -55.04000,  -1.46000,  -0.00000,  -9.89000,  -2.96000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000, -16.27000,   0.00000,  -0.00000, -16.27000,   0.00000,  -0.00000, -16.27000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  -9.51000,   0.00000,  -0.00000,  -9.51000,   0.00000,  -0.00000,  -9.51000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000, -15.95000,   0.00000,  -0.00000, -15.95000,   0.00000,  -0.00000, -15.95000,   0.00000,  -0.00000,   0.00000,  25.00000,  -0.00000,  -9.40000,   0.00000,  -0.00000,  -9.40000,   0.00000,  -0.00000,  -9.40000
   0.15300, -61.28000,   2.54000,  -0.07000,   8.34000,   0.84000,  -0.82000,   4.16000,  -0.21000,   1.14000,   6.63000,  -2.14000,  -0.16000,  11.69000,  -0.14000,  -2.28000,   7.59000,  -0.40000,  -0.02000,  -2.27000,  -2.08000,   1.83000,   1.17000, -12.41000,   1.59000,   0.27000,  -3.10000,   0.42000,   0.39000,  -5.07000,   0.69000,  -0.03000,   0.29000,  -0.27000,  -0.03000,   0.29000,  -0.27000,  -1.00000,   5.19000,  -4.87000,  18.32000, -27.33000, -14.44000,  13.87000,  36.00000, 108.33000,   9.06000,   7.51000,  -0.60000,   0.89000,   4.15000,  -8.66000,  51.01000,  -0.00000,  41.56000,  -4.47000,  -0.00000,   7.41000,   4.44000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000,  19.92000,   0.00000,  -0.00000,  19.92000,   0.00000,  -0.00000,  19.92000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  21.62000,   0.00000,  -0.00000,  21.62000,   0.00000,  -0.00000,  21.62000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000,  22.28000,   0.00000,  -0.00000,  22.28000,   0.00000,  -0.00000,  22.28000,   0.00000,  -0.00000,   0.00000, -25.00000,  -0.00000,  19.47000,   0.00000,  -0.00000,  19.47000,   0.00000,  -0.00000,  19.47000,  14.13000, -36.39000,   2.21000, -45.43000,  39.48000,-121.75000,  -6.64000, -13.05000,   2.57000,  -5.44000, -10.91000,   9.91000, -40.70000,  -0.00000, -55.08000,  -1.44000,  -0.00000,  -9.94000,  -3.05000,  -0.00000,   0.00000,   0.00000,  -0.00000,   0.00000, -15.00000,  -0.00000, -16.28000,   0.00000,  -0.00000, -16.28000,   0.00000,  -0.00000, -16.28000,   0.00000,  -0.00000,   0.00000,   0.00000,  -0.00000,  -9.53000,   0.00000,  -0.00000,  -9.53000,   0.00000,  -0.00000,  -9.53000,   0.00000,  -0.00000,   0.00000,  15.00000,  -0.00000, -15.97000,   0.00000,  -0.00000, -15.97000,   0.00000,  -0.00000, -15.97000,   0.00000,  -0.00000,   0.00000,  25.00000,  -0.00000,  -9.41000,   0.00000,  -0.00000,  -9.41000,   0.00000,  -0.00000,  -9.41000
